[I 2025-02-06 12:11:24,330] Trial 0 finished with value: 0.00459446884479891 and parameters: {'eta': 0.16251237448028202, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7911161021968491, 'colsample_bytree': 0.978694695817806, 'scale_pos_weight': 1.4255853367024276}. Best is trial 0 with value: 0.00459446884479891.
[I 2025-02-06 21:16:38,651] Trial 22 finished with value: 0.004022774453933957 and parameters: {'eta': 0.22302759996073954, 'max_depth': 8, 'min_child_weight': 13, 'subsample': 0.8630863318318169, 'colsample_bytree': 0.9633843732000255, 'scale_pos_weight': 1.0150307381679728}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 21:47:18,925] Trial 23 finished with value: 0.003930097462660207 and parameters: {'eta': 0.28858831430039056, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.9340572259420913, 'colsample_bytree': 0.9043659988539497, 'scale_pos_weight': 0.8379319925180447}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 22:18:35,695] Trial 24 finished with value: 0.004382725406667574 and parameters: {'eta': 0.17949463886176492, 'max_depth': 8, 'min_child_weight': 14, 'subsample': 0.7594337741266723, 'colsample_bytree': 0.9988888537791415, 'scale_pos_weight': 1.2021478027511256}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 22:51:03,535] Trial 25 finished with value: 0.0044870782025053 and parameters: {'eta': 0.13693877563149343, 'max_depth': 9, 'min_child_weight': 12, 'subsample': 0.8720119152268374, 'colsample_bytree': 0.9224856937605814, 'scale_pos_weight': 0.6896410721569064}. Best is trial 7 with value: 0.003579593258074267.
[I 2025-02-06 23:24:56,903] Trial 26 finished with value: 0.003150807932848193 and parameters: {'eta': 0.242912018971368, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9376418718418692, 'colsample_bytree': 0.842113235346166, 'scale_pos_weight': 1.0198118519537585}. Best is trial 26 with value: 0.003150807932848193.
[I 2025-02-06 23:58:19,416] Trial 27 finished with value: 0.00306031996458084 and parameters: {'eta': 0.21916961811670876, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9443499946742935, 'colsample_bytree': 0.7603109476106861, 'scale_pos_weight': 1.0506719135572007}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 00:33:03,797] Trial 28 finished with value: 0.005639265791155067 and parameters: {'eta': 0.03668722029606304, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.9997624929905824, 'colsample_bytree': 0.763754430289479, 'scale_pos_weight': 1.0243398593488935}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 01:07:09,423] Trial 29 finished with value: 0.0034780207295916233 and parameters: {'eta': 0.15549093338658798, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9451730275534693, 'colsample_bytree': 0.7281749928192096, 'scale_pos_weight': 1.2328064875279126}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 01:41:38,379] Trial 30 finished with value: 0.0034584719164225766 and parameters: {'eta': 0.15732573002592354, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9504223003814877, 'colsample_bytree': 0.7060300193247098, 'scale_pos_weight': 1.252526880458367}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 02:17:56,576] Trial 31 finished with value: 0.00344327740343222 and parameters: {'eta': 0.1605670933359554, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9476055656647288, 'colsample_bytree': 0.7004088255576114, 'scale_pos_weight': 1.225140075887789}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 02:51:36,167] Trial 32 finished with value: 0.0036331939636126635 and parameters: {'eta': 0.10271352731226757, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9034006942160806, 'colsample_bytree': 0.6973445527023469, 'scale_pos_weight': 1.2757198692766247}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 03:25:22,312] Trial 33 finished with value: 0.0033746043298093936 and parameters: {'eta': 0.18596770609216792, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9904466522669579, 'colsample_bytree': 0.7849090286570777, 'scale_pos_weight': 1.1418589316239418}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 03:59:31,752] Trial 34 finished with value: 0.0032863052164117633 and parameters: {'eta': 0.1953675603370748, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9994104213247245, 'colsample_bytree': 0.7829272238706176, 'scale_pos_weight': 1.1404508239169284}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 04:32:31,852] Trial 35 finished with value: 0.003432766998967013 and parameters: {'eta': 0.19916756247954412, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.9874934776803229, 'colsample_bytree': 0.7730776270143909, 'scale_pos_weight': 1.083798203271553}. Best is trial 27 with value: 0.00306031996458084.
[I 2025-02-07 05:07:16,302] Trial 36 finished with value: 0.0027706094585007667 and parameters: {'eta': 0.12952757908461118, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.9136547225140513, 'colsample_bytree': 0.7982666062021071, 'scale_pos_weight': 1.139133758423292}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 05:40:56,720] Trial 37 finished with value: 0.0029664168457259436 and parameters: {'eta': 0.12209978817638206, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9239075526990738, 'colsample_bytree': 0.7990550812894197, 'scale_pos_weight': 1.046422356329661}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 06:15:03,401] Trial 38 finished with value: 0.0028044869178503406 and parameters: {'eta': 0.12254629666980807, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9060632785043204, 'colsample_bytree': 0.8481114326520328, 'scale_pos_weight': 1.043778201921823}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 06:43:22,288] Trial 39 finished with value: 0.00320619549169854 and parameters: {'eta': 0.07885090627872889, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.7782440618659351, 'colsample_bytree': 0.8556348395751643, 'scale_pos_weight': 0.9629875110423495}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 07:05:06,478] Trial 40 finished with value: 0.0256441509624612 and parameters: {'eta': 0.13622927400126797, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8998194202734362, 'colsample_bytree': 0.8033879699295619, 'scale_pos_weight': 1.0704182096153219}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 07:32:08,526] Trial 41 finished with value: 0.00337300356464258 and parameters: {'eta': 0.11581485909122237, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.9231840363478532, 'colsample_bytree': 0.8039079259437586, 'scale_pos_weight': 1.0330948814497511}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 07:59:09,106] Trial 42 finished with value: 0.0029635349816621464 and parameters: {'eta': 0.1176145280259175, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.8895234422249803, 'colsample_bytree': 0.8572810074705092, 'scale_pos_weight': 1.3889250834722107}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 08:26:39,292] Trial 43 finished with value: 0.00286052649043033 and parameters: {'eta': 0.11643393098627015, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8892752418422675, 'colsample_bytree': 0.8731462854971095, 'scale_pos_weight': 1.2950680097601717}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 08:53:12,906] Trial 44 finished with value: 0.0033169723660994937 and parameters: {'eta': 0.08759774425716588, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.878505983167258, 'colsample_bytree': 0.8765286578487989, 'scale_pos_weight': 1.4921535941079935}. Best is trial 36 with value: 0.0027706094585007667.
[I 2025-02-07 09:21:19,354] Trial 45 finished with value: 0.00296607998490228 and parameters: {'eta': 0.11915006689603441, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.8375149740491294, 'colsample_bytree': 0.9007346982301258, 'scale_pos_weight': 1.384681279507776}. Best is trial 36 with value: 0.0027706094585007667.
